Waf: Entering directory `/home/zsh/example/build'
Waf: Leaving directory `/home/zsh/example/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.251s)
46.4 0 20 100 
46.5015 0 80 100 
46.5047 0 44 100 
46.5062 0 35 100 
46.6 0 94 100 
46.7 0 20 100 
46.8 0 94 100 
46.9 0 20 100 
47 0 94 100 
47.1 0 20 100 
47.2034 0 78 100 
47.3 0 85 100 
47.4 0 91 100 
47.5 0 14 100 
47.6 0 90 100 
47.7 0 90 100 
47.8 0 94 100 
47.9 0 94 100 
48 0 20 100 
48.1015 0 78 100 
48.2 0 85 100 
48.3 0 91 100 
48.4 0 94 100 
48.5 0 20 100 
48.6015 0 78 100 
48.7 0 85 100 
48.8 0 91 100 
48.9 0 14 100 
49 0 90 100 
49.1 0 90 100 
49.2 0 44 100 
49.3 0 94 100 
